utterance,label
Tell me about booking insurance options.,Insurance
Any ongoing flight sale?,Discounts
How to request wheelchair assistance?,Medical Policy
What is your cancellation policy?,Cancellation Policy
The staff behavior was rude.,Complaints
Is insurance mandatory for booking?,Insurance
Do you allow cricket kits as luggage?,Sports Music Gear
Are there any seats left on booking AI303?,Seat Availability
Can I carry a bird on booking?,Pet Travel
Show me available bookings from Delhi to Goa.,Flights Info
I want to file a complaint.,Complaints
Can I change the booking date?,Change Flight
Check trip status for AI202.,Flight Status
Can I carry our guitar on board?,Sports Music Gear
Can I carry medicines onboard?,Medical Policy
Any ongoing flight sale?,Discounts
Lost my bag after flight landing.,Missing Bag
Show me available seats for 8PM booking.,Seat Availability
How do I change the booking?,Change Flight
List all bookings from Mumbai to Dubai.,Flights Info
How much is the fare from Delhi to Mumbai?,Fare Check
The staff behavior was rude.,Complaints
How to request wheelchair assistance?,Medical Policy
I’m unhappy with our last trip.,Complaints
I want to know the airfare for our trip.,Fare Check
Bag was torn on arrival.,Damaged Bag
Is my booking on time?,Flight Status
Is there a charge for sports equipment?,Sports Music Gear
Cancel the ticket for tomorrow please.,Cancel Trip
What does flight insurance cover?,Insurance
How to request wheelchair assistance?,Medical Policy
Can I take liquids over 100ml?,Prohibited Items Faq
Any ongoing trip sale?,Discounts
Is econothe class full?,Seat Availability
Your service was very poor.,Complaints
Who do I contact for damaged baggage?,Damaged Bag
What if I need medical help during trip?,Medical Policy
My baggage didn’t arrive at the destination.,Missing Bag
Can I carry liquids in hand baggage?,Carry On Luggage Faq
Do you allow cats onboard?,Pet Travel
What is the ticket price for next week?,Fare Check
What’s the current status of the flight?,Flight Status
What is your pet travel policy?,Pet Travel
My luggage handle broke when I received it.,Damaged Bag
Can I change the booking date?,Change Flight
The staff behavior was rude.,Complaints
Is there a pet fee?,Pet Travel
Need to modify my booking time.,Change Flight
Is my flight on time?,Flight Status
Tell me about trip insurance options.,Insurance
Is the 8PM flight to Chennai running on time?,Flight Status
How to claim insurance for delayed flights?,Insurance
Tell me all trips to Hyderabad tonight.,Flights Info
Show me available flights from Delhi to Goa.,Flights Info
What does trip insurance cover?,Insurance
Any ongoing flight sale?,Discounts
Can I take liquids over 100ml?,Prohibited Items Faq
How to request wheelchair assistance?,Medical Policy
Can I carry the guitar on board?,Sports Music Gear
I can’t find my suitcase.,Missing Bag
Is there a coupon I can use?,Discounts
My luggage handle broke when I received it.,Damaged Bag
What is your cancellation policy?,Cancellation Policy
Can I check in the musical instrument?,Check In Luggage Faq
I want to cancel our booking booking.,Cancel Trip
How much refund will I get on cancellation?,Cancellation Policy
Tell me about current deals or promotions.,Discounts
Do you allow cats onboard?,Pet Travel
I want to reschedule my booking.,Change Flight
Is insurance mandatory for booking?,Insurance
Show me ticket cost for econothe class.,Fare Check
I’m unhappy with my last flight.,Complaints
Any ongoing trip sale?,Discounts
Tell me about flight insurance options.,Insurance
How many bags can I check in?,Check In Luggage Faq
Show me ticket cost for econothe class.,Fare Check
List all prohibited items.,Prohibited Items Faq
Need to modify the booking time.,Change Flight
Show me available seats for 8PM trip.,Seat Availability
What if I need medical help during trip?,Medical Policy
Lost our bag after booking landing.,Missing Bag
Do you allow cricket kits as luggage?,Sports Music Gear
How to claim insurance for delayed bookings?,Insurance
Tell me about current deals or promotions.,Discounts
I want to cancel the trip booking.,Cancel Trip
Lost my bag after booking landing.,Missing Bag
How can I cancel my journey?,Cancel Trip
How to claim insurance for delayed bookings?,Insurance
What is your medical travel policy?,Medical Policy
Check seat availability for tomorrow.,Seat Availability
Can I carry liquids in hand baggage?,Carry On Luggage Faq
What does flight insurance cover?,Insurance
How to check in musical instruments?,Sports Music Gear
Is backpack considered carry-on?,Carry On Luggage Faq
Is there a coupon I can use?,Discounts
Tell me if the flight is delayed.,Flight Status
Show me available trips from Delhi to Goa.,Flights Info
Bag was torn on arrival.,Damaged Bag
I want to know the airfare for the trip.,Fare Check
What does booking insurance cover?,Insurance
I can’t find the suitcase.,Missing Bag
I want to know the airfare for our trip.,Fare Check
How many seats are available?,Seat Availability
How do I change our booking?,Change Flight
Is there a charge for sports equipment?,Sports Music Gear
How to request wheelchair assistance?,Medical Policy
Check seat availability for tomorrow.,Seat Availability
Is the 8PM booking to Chennai running on time?,Flight Status
How many bags can I check in?,Check In Luggage Faq
What is your pet travel policy?,Pet Travel
What is your medical travel policy?,Medical Policy
Can I carry my guitar on board?,Sports Music Gear
I’m unhappy with my last booking.,Complaints
Do you charge extra for baggage?,Check In Luggage Faq
Who do I contact for damaged baggage?,Damaged Bag
I received a damaged bag from the airline.,Damaged Bag
I want to cancel my flight booking.,Cancel Trip
Is our flight on time?,Flight Status
Report missing baggage please.,Missing Bag
Is there a coupon I can use?,Discounts
Check seat availability for tomorrow.,Seat Availability
List all bookings from Mumbai to Dubai.,Flights Info
What items are not allowed in baggage?,Prohibited Items Faq
Lost my bag after trip landing.,Missing Bag
Is there any charge for cancellation?,Cancellation Policy
Can I carry my guitar on board?,Sports Music Gear
Who do I contact for damaged baggage?,Damaged Bag
I want to cancel my trip booking.,Cancel Trip
Is insurance mandatory for booking?,Insurance
Is my flight on time?,Flight Status
Show me available trips from Delhi to Goa.,Flights Info
Check trip status for AI202.,Flight Status
I can’t find the suitcase.,Missing Bag
I can’t find my suitcase.,Missing Bag
My suitcase was damaged during the trip.,Damaged Bag
List all flights from Mumbai to Dubai.,Flights Info
How to check in musical instruments?,Sports Music Gear
Show me ticket cost for econothe class.,Fare Check
What’s the current status of my trip?,Flight Status
Do you charge extra for baggage?,Check In Luggage Faq
I need to cancel our reservation.,Cancel Trip
Is there a coupon I can use?,Discounts
I want to know the airfare for our trip.,Fare Check
What items are allowed in carry-on baggage?,Carry On Luggage Faq
Is economy class full?,Seat Availability
What is the ticket price for next week?,Fare Check
How much refund will I get on cancellation?,Cancellation Policy
I want to cancel my flight booking.,Cancel Trip
Is backpack considered carry-on?,Carry On Luggage Faq
I need flight timings for Bangalore to Pune.,Flights Info
Show me available seats for 8PM booking.,Seat Availability
Is my booking on time?,Flight Status
Cancel the ticket for tomorrow please.,Cancel Trip
Do you allow passengers with medical conditions?,Medical Policy
Tell me about current deals or promotions.,Discounts
What’s the current status of our flight?,Flight Status
What is your cancellation policy?,Cancellation Policy
Who do I contact for damaged baggage?,Damaged Bag
I want to know the airfare for my trip.,Fare Check
Cancel our ticket for tomorrow please.,Cancel Trip
Can I get a refund if I cancel the booking?,Cancellation Policy
Do you charge extra for baggage?,Check In Luggage Faq
Do you allow passengers with medical conditions?,Medical Policy
What is your pet travel policy?,Pet Travel
Do you have any booking discounts today?,Discounts
I want to know the airfare for our trip.,Fare Check
Can I carry medicines onboard?,Medical Policy
Need to modify my flight time.,Change Flight
Please help me update our booking details.,Change Flight
Can I change our booking date?,Change Flight
Tell me the baggage size limits.,Check In Luggage Faq
My baggage didn’t arrive at the destination.,Missing Bag
Can I carry a bird on flight?,Pet Travel
Can I take liquids over 100ml?,Prohibited Items Faq
What is your cancellation policy?,Cancellation Policy
What is the weight limit for hand luggage?,Carry On Luggage Faq
How much refund will I get on cancellation?,Cancellation Policy
Are there any seats left on trip AI303?,Seat Availability
I received a damaged bag from the airline.,Damaged Bag
How much is the fare from Delhi to Mumbai?,Fare Check
Can I get a refund if I cancel my trip?,Cancellation Policy
Is insurance mandatory for booking?,Insurance
Can you help me cancel the trip?,Cancel Trip
Can I carry medicines onboard?,Medical Policy
Cancel my ticket for tomorrow please.,Cancel Trip
What is your pet travel policy?,Pet Travel
Is there a coupon I can use?,Discounts
I want to cancel the trip booking.,Cancel Trip
How do I change my booking?,Change Flight
Can I get a refund if I cancel my flight?,Cancellation Policy
I need trip timings for Bangalore to Pune.,Flights Info
